indicator_id,name,kinedu_category,general_category,specific_category,spanish,gen_cat_EH,spe_cat_EH
230,Surpasses obstacles when crawling ,crawl,locomotor,crawling,Logra pasar por obst‡culos al gatear,,
262,Positions him/herself on all fours and swings forward and backward without moving forward,crawl,locomotor,crawling,Se acomoda en cuatro puntos (a gatas) y se balancea hacia delante y hacia atrÌÁs sin avanzar,,
264,"Drags him/herself on all fours, alternating arms and pushing legs symmetrically",crawl,locomotor,crawling,"Se arrastra a gatas, alternando los brazos y empujando las piernas sim_tricamente",,
265,Can move around dragging him/herself without lifting the belly,crawl,locomotor,crawling,Se arrastra sin levantar aœn el abdomen pero logra desplazarse,,
267,Moves and begins to adapt the ways he/she crawls,crawl,locomotor,crawling,Se desplaza adaptando sus formas de gateo,,
374,Crawls up stairs with help,NA,locomotor,crawling,Sube las escaleras gateando con ayuda,,
9,"Lying face down, supports weight on open hands with extended arms",position,locomotor,early body posture,"Boca abajo, se apoya en sus manos abiertas con los brazos extendidos",,
10,"Lying face up, continuously thrusts legs in front of his/her body",position,locomotor,early body posture,"Boca arriba, continuamente alza las piernas delante del cuerpo",,
11,"Lying face up, stretches back extending his/her backbone",position,locomotor,early body posture,"Boca arriba, estira su espalda extendiendo la columna vertebral",,
21,Starts showing firmness in his/her muscles and his/her arms and legs can be flexed,position,locomotor,early body posture,Empieza a mostrar firmeza en sus musculos y sus extremidades se pueden flexionar ,,
115,Rests on his/her elbows while lying face down,position,locomotor,early body posture,"Al estar boca abajo, se apoya con sus codos",,
136,"Lying face up, rests with his/her legs open and stretched at hip length",position,locomotor,early body posture,"Estando boca arriba, logra mantener sus piernas abiertas y estiradas a la altura de la cadera",,
158,Extends his/her arms forward while lying face down,position,locomotor,early body posture,"Boca abajo, extiende los brazos hacia adelante",,
194,"Lifts his/her legs together, bent or apart",position,locomotor,early body posture,"Eleva las piernas, juntas, flexionadas o separadas",,
201,Holds his/her arms to the sides with closed fists,position,locomotor,early body posture,Encoge los brazos a los lados con los pu–os cerrados,,
202,"Bends and opens legs to the sides, lifts feet",position,locomotor,early body posture,"Encoge y abre las piernas a los lados, levanta los pies",,
263,Supports his/her weight briefly on forearms,position,locomotor,early body posture,Se apoya brevemente en los antebrazos,,
277,Reacts to change in body position,position,locomotor,early body posture,Reacciona ante el cambio de posiciÌ_n corporal,,
291,Bends and flexes his/her knees,position,locomotor,early body posture,Tiene las rodillas flexionadas,,
292,Arches his/her back while turning,position,locomotor,early body posture,Arquea la espalda al voltear su cuerpo,,
293,His/her arms and legs are flexed,position,locomotor,early body posture,Tiene los brazos y piernas flexionadas,,
40,Explores his/her own body,cognitive,locomotor,early movements,Explora su cuerpo,,
64,Lifts one arm supporting his/her weight on the other one while facing down,movements,locomotor,early movements,"Al estar boca abajo, es capaz de levantar un brazo mientras usa el otro de apoyo",,
80,Moves his/her hands and feet voluntarily,movements,locomotor,early movements,Mueve sus manos y pies voluntariamente,,
86,Kicks when lying face up,movements,locomotor,early movements,Patalea cuando est‡ acostado boca arriba,,
141,Uses his/her hands and feet to make intentional movements ,movements,locomotor,early movements,Utiliza sus manos y pies para realizar movimientos intencionales,,
159,"Lying face down, extends arms and legs alternately or simultaneously",movements,locomotor,early movements,"Boca abajo, extiende los brazos y piernas alternada o simult‡neamente",,
207,Raises his/her legs while lying face up,movements,locomotor,early movements,Estando acostado boca arriba levanta las piernas,,
210,"Stretches his/her legs for a few seconds when held up, with feet on a surface",movements,locomotor,early movements,"Estira las piernas por pocos segundos cuando se le sostiene en posici—n vertical, con los pies apoyados en una superficie",,
215,Bends and extends legs alternately,movements,locomotor,early movements,Flexiona y extiende sus piernas alternadamente,,
242,Constantly kicks,movements,locomotor,early movements,Patalea constantemente,,
290,Shows improved hand coordination,movements,locomotor,early movements,Realiza movimientos mÌÁs coordinados con sus manos,,
300,Uses his/her hands to make intentional movements,movements,locomotor,early movements,Utiliza sus manos para realizar movimientos intencionales,,
414,Makes small paper pellets using his/her hands,NA,locomotor,fine motor,Forma bolitas de papel utilizando toda su mano,,
467,Tears paper into strips,NA,locomotor,fine motor,Rasga el papel en tiras,,
558,Inserts objects like a thread in a narrow orifice or hole,NA,locomotor,fine motor,Es capaz de ensartar objetos como un hilo dentro de un orificio angosto ,,
41,Explores his/her hands with the mouth ,hands,locomotor,hands,Explora sus manos con la boca,,
81,Observes his/her own hands,hands,locomotor,hands,Observa sus manos,,
82,Observes his/her own hands and explores one hand with the other,hands,locomotor,hands,Observa sus manos y explora con una mano la otra,,
114,Holds his/her feet with his/her hands when lying face up,hands,locomotor,hands,Se agarra los pies con las manos al estar boca arriba,,
146,Opens and closes his/her hands,hands,locomotor,hands,Abre y cierra sus manos,,
302,Sees and moves his/her hand in a fist,hands,locomotor,hands,Ve y mueve su mano empu–ada,,
305,Holds his/her head at torso level,NA,locomotor,hands,Mantiene la cabeza al nivel del torso,,
30,Supports his/her head completely,head,locomotor,head,Sostiene su cabeza completamente,,
75,Keeps his/her head held up while being face down,head,locomotor,head,Mantiene levantada la cabeza estando boca abajo,,
91,"When upright, he/she can turn his/her head left and right",head,locomotor,head,"En posiciÌ_n vertical, puede girar su cabeza de izquierda a derecha",,
132,"Holds his/her head up, but needs help sometimes",head,locomotor,head,"Sostiene la cabeza, pero en ciertas ocasiones requiere de ayuda",,
216,Turns his/her head to both sides when lying face up,head,locomotor,head,Gira la cabeza a ambos lados estando acostado boca arriba,,
220,"Begins supporting his/her head, lifts head for a few seconds when lying face down",head,locomotor,head,"Inicia el sostenimiento de la cabeza, levanta la cabeza por varios segundos en posici—n boca abajo",,
228,Maintains his/her head held for 10 seconds,head,locomotor,head,Logra mantener la cabeza erguida por 10 segundos,,
229,Maintains his/her head held for a few seconds,head,locomotor,head,Logra mantener la cabeza erguida por pocos segundos,,
233,Is able to maintain his/her head held up,head,locomotor,head,Mantiene la cabeza erguida,,
133,Holds one object in each hand,hold objects,locomotor,manipulation,Sostiene un objeto en cada mano,locomotor,coordination
134,Holds a small object,hold objects,locomotor,manipulation,Sostiene un objeto pequeÌ±o,locomotor,coordination
288,Holds big objects and plays with them,hold objects,locomotor,manipulation,Sostiene objetos grande y juega con ellos ,locomotor,coordination
2,Opens and closes boxes alternating hands,manipulate,locomotor,manipulation,Abre y cierra cajas alternando sus manos,locomotor,coordination
14,Holds two objects with a single hand,manipulate,locomotor,manipulation,Coloca dos objetos en una sola mano,locomotor,coordination
34,Inserts objects (like coins in a piggy bank),manipulate,locomotor,manipulation,Ensarta objetos (como monedas en un alcanc’a),locomotor,coordination
47,Turns hands to open and close containers,manipulate,locomotor,manipulation,Gira sus manos para abrir y cerrar recipientes,locomotor,coordination
57,Starts and stops the movement of a toy (e.g. a ball),manipulate,locomotor,manipulation,Inicia y detiene el movimiento de un juguete (por Ej. Una pelota),locomotor,coordination
58,Inserts a key with help,manipulate,locomotor,manipulation,Inserta una llave,locomotor,coordination
61,"Examines, touches and takes objects out from a box",manipulate,locomotor,manipulation,"Investiga, toca y saca objetos de una caja",locomotor,coordination
70,Can handle different materials or objects,manipulate,locomotor,manipulation,Logra manipular materiales u objetos,locomotor,coordination
71,Can flip through pages of a book (even if not one by one),manipulate,locomotor,manipulation,Logra pasar p‡ginas de un libro aunque no sea una por una,locomotor,coordination
74,"Flaps his/her hands at objects, takes them and transfers them from one hand to the other",manipulate,locomotor,manipulation,"Manotea objetos, los toma y los transfiere de una mano a la otra ",locomotor,coordination
96,Demonstrates controlled fine motor skills with his/her hands,manipulate,locomotor,manipulation,Realiza movimientos precisos y controlados con sus manos,locomotor,coordination
139,Uses the handle to open and close,manipulate,locomotor,manipulation,Utiliza la manija para abrir y cerrar,locomotor,coordination
142,Empties containers,manipulate,locomotor,manipulation,VacÌ_a recipientes,locomotor,coordination
147,Opens and closes a drawer,manipulate,locomotor,manipulation,Abre y cierra un caj—n,locomotor,coordination
156,Wrinkles or tears paper,manipulate,locomotor,manipulation,Arruga o rompe hojas de papel,locomotor,coordination
165,Switches objects from one hand to the other,manipulate,locomotor,manipulation,Cambia los objetos de una mano a otra,locomotor,coordination
170,Places and presses lids and/or covers with his/her fingers,manipulate,locomotor,manipulation,Coloca y presiona tapas o cubiertas con sus dedos,locomotor,coordination
172,Begins to place objects in a container,manipulate,locomotor,manipulation,Comienza a introducir objetos en un recipiente,locomotor,coordination
231,Shows good hand control when grasping objects,manipulate,locomotor,manipulation,Muestra control de manos al tomar objetos,locomotor,coordination
234,"Inserts items, three or four at a time, into a small container",manipulate,locomotor,manipulation,"Mete piezas en un recipiente peque–o, tres o cuatro a la vez",locomotor,coordination
235,Inserts and removes objects from a container,manipulate,locomotor,manipulation,Mete y saca objetos de un recipiente,locomotor,coordination
259,Takes keys out of locks,manipulate,locomotor,manipulation,Saca llaves de una cerradura,locomotor,coordination
260,"Takes items out of a small container, one at a time",manipulate,locomotor,manipulation,Saca una pieza de un recipiente peque–o a la vez,locomotor,coordination
261,Takes out and stores objects,manipulate,locomotor,manipulation,Saca y guarda objetos,locomotor,coordination
298,Uses both hands simultaneously to handle objects,manipulate,locomotor,manipulation,Usa dos manos al mismo tiempo para manipular objetos,locomotor,coordination
326,"Inserts items, three or four at a time, into a small container",NA,locomotor,manipulation,"Mete piezas en un recipiente pequeÌ±o, tres o cuatro a la vez",locomotor,coordination
327,Makes precise movements while using everyday objects,NA,locomotor,manipulation,Hace movimientos precisos al utilizar objetos cotidianos,locomotor,coordination
336,Moves his/her arms while using different materials,NA,locomotor,manipulation,Hace movimientos con sus manos utilizando diferentes materiales,locomotor,coordination
337,"Moves his/her hands up and down, and left and right on a paper",NA,locomotor,manipulation,"Realiza movimientos con sus manos de arriba-abajo y de un lado al otro, en un papel",locomotor,coordination
351,"When given an object, he/she leaves aside the object he/she was holding. ",NA,locomotor,manipulation,Deja a un lado un objeto al recibir uno nuevo,locomotor,coordination
357,"Passes small objects from one recipient to another, using his/her hands",NA,locomotor,manipulation,Pasa objetos pequeÌ±os de un recipiente a otro utilizando sus manos,locomotor,coordination
358,Places his/her fingers with paint on paper,NA,locomotor,manipulation,Plasma sus huellas digitales con pintura,locomotor,coordination
361,Tears different types of paper,NA,locomotor,manipulation,Rasga diferentes tipos de papel,locomotor,coordination
362,Wrinkles paper using both hands,NA,locomotor,manipulation,Arruga el papel utilizando las dos manos,locomotor,coordination
378,Uses the pincer grasp (index finger and thumb) coordinately,NA,locomotor,manipulation,Utiliza la prensiÌ_n en pinza coordinadamente,locomotor,coordination
306,Begins using the spoon and the fork while eating,NA,locomotor,other,Comienza a utilizar la cuchara y el tenedor al comer,locomotor,coordination
372,Blows through a straw,NA,locomotor,other,Sopla a travÌ©s de un popote,locomotor,coordination
473,Can turn the page of a hardcover book,NA,locomotor,other,Puede darle vuelta a la pÌÁgina de un libro de pasta dura,locomotor,coordination
477,Inserts objects like a thread in a large orifice or hole,NA,locomotor,other,Es capaz de ensartar objetos como un hilo dentro de un orificio ancho,locomotor,coordination
514,"Makes precise movements with his/her hands like opening, closing and handling objects",NA,locomotor,other," Realiza movimientos precisos con sus manos como: abrir, cerrar y manipular",locomotor,coordination
543,Forms paper or clay balls with his/her fingers,NA,locomotor,other,Forma bolitas de papel o plastilina utilizando los dedos,locomotor,coordination
484,No longer drops toys or objects,NA,locomotor,other,Ya no deja caer los juguetes u objetos,locomotor,coordination
466,Knows how to blow air through his or her mouth,NA,locomotor,other,Sabe soplar,locomotor,coordination
528,Coordinately kicks a ball,NA,locomotor,play,Patea pelotas coordinadamente,locomotor,coordination
529,Coordinately throws and catches a ball,NA,locomotor,play,Lanza y atrapa pelotas coordinadamente,locomotor,coordination
530,Tries to bounce a ball,NA,locomotor,play,Intenta botar una pelota,locomotor,coordination
535,Begins to jump,NA,locomotor,play,Comienza a saltar ,locomotor,coordination
536,"With help, rolls clay to make strips, rolling it in his/her hands or on the table",NA,locomotor,play,"Con ayuda hace tiras con plastilina, rodÌÁndola en sus manos o en la mesa.",locomotor,coordination
538,Walks up ramps,NA,locomotor,play,Sube rampas,locomotor,coordination
541,"Walks alone, stops, leans over and explores everything",NA,locomotor,play,"Ya camina solo, se para, se inclina y explora todo",locomotor,coordination
443,"Moves his/her hands up and down, left and right, and in circles",NA,locomotor,play,"Realiza movimientos de arriba-abajo, izquierda-derecha y cÌ_rculos con sus manos",locomotor,coordination
456,Throws a ball,NA,locomotor,play,Lanza pelotas,locomotor,coordination
458,Catches moving balls,NA,locomotor,play,Atrapa pelotas en movimiento,locomotor,coordination
556,Squeezes a squirt bottle or atomizer,NA,locomotor,play,Aprieta un atomizador,locomotor,coordination
43,Extends legs when pressure is placed on the soles of his/her feet,movements,locomotor,reflexes,Extiende sus piernas cuando se ejerce presi—n en la planta de los pies,,
131,Holds a small object in his/her hand for 10 seconds (grasping reflex),reflex,locomotor,reflexes,Sostiene en su mano un objeto peque–o durante 10 segundos (reflejo de prensi—n),,
137,Has all of the newborn reflexes,reflex,locomotor,reflexes,Tiene los reflejos de reciÌ©n nacido,,
150,"When startled, throws arms in the air with the palms of his/her hands facing up, stretches back and neck and quickly retracts arms back to chest (Moro reflex)",reflex,locomotor,reflexes,"Al asustarse, echa los brazos al aire, con las palmas de sus manos hacia arriba, estira su espalda y cuello y r‡pidamente retrae los brazos de vuelta al pecho (reflejo de Moro)",,
169,Closes his/her hand when given a stimulus (grasping reflex),reflex,locomotor,reflexes,Cierra la mano al recibir un est’mulo (reflejo de prensi—n),,
193,Stretches and spreads his/her toes when the sole of his/her foot is rubbed (Babinski reflex),reflex,locomotor,reflexes,Estira el dedo gordo del pie y los dedos se abren cuando se frota la planta del pie (reflejo de Babinski),,
236,"When the roof of his/her mouth is touched, he/she begins to suck (sucking reflex)",reflex,locomotor,reflexes,Muestra el reflejo de chupeteo (intenta succionar un objeto),,
289,"When his/her cheek is stroked, your baby opens his/her mouth and moves his/her head towards the direction of the stroking (rooting reflex).",reflex,locomotor,reflexes,"Al acariciar a tu bebÌ© en la mejilla, abre la boca y dirije su cabeza hacia el estimulo (reflejo de bÌ_squeda).",,
144,Turns toward a stimuli to the cheek,social and emotional,locomotor,reflexes,Voltea ante un est’mulo en la mejilla,,
92,Can flip from face up and face down easily,turn,locomotor,rolling,Puede voltearse boca arriba y boca abajo f‡cilmente,,
151,"While lying face down, flips to face-up position",turn,locomotor,rolling,Al estar boca abajo se voltea boca arriba,,
160,"Lying face down, turns on own body (pivoting on belly button, left and right)",turn,locomotor,rolling,"Boca abajo, gira sobre su propio cuerpo (sobre su ombligo, hacia la derecha e izquierda )",,
257,Rolls to his/her side,turn,locomotor,rolling,Rueda hacia el costado,,
33,"While face up, attempts to sit up when pulled by the hands",sit,locomotor,sitting,"En posici—n boca arriba, hace intentos por sentarse cuando se le jala de las manos ",,
118,Remains sitting without support,sit,locomotor,sitting,Se mantiene en posici—n sentado sin soporte,,
121,Sits with help and maintains his/her torso firm,sit,locomotor,sitting,Se sienta con apoyo y mantiene el tronco firme ,,
162,"While lying face up, raises his/her head and attempts to sit up",sit,locomotor,sitting,"Boca arriba, levanta la cabeza e intenta sentarse",,
227,Can stay seated between cushions,sit,locomotor,sitting,Logra estar sentado entre cojines,,
270,"Sits up by him/herself and remains seated for a few minutes, even without support",sit,locomotor,sitting,"Se incorpora solo a la posici—n de sentado y se queda sentado durante unos minutos, incluso sin apoyarse",,
272,Remains seated with support of his/her hands placed in front of his/her body (tripod),sit,locomotor,sitting,"Se mantiene sentado solo, apoyando sus manos adelante (tr’pode)",,
276,Sits up with help,sit,locomotor,sitting,Se sienta con apoyo,,
381,Goes down stairs with help,NA,locomotor,stairs,Baja escaleras con ayuda,,
382,"Goes down three steps with help, alternating his/her feet",NA,locomotor,stairs,"Baja tres escalones alternando los pies, con ayuda",,
413,Goes down a flight of stairs crawling backwards,NA,locomotor,stairs,Baja las escaleras gateando hacia atrÌÁs,,
471,"Walks up and down stairs with help, resting both feet on each step",NA,locomotor,stairs,Sube y baja una escalera con ayuda y descansando ambos pies en cada escalÌ_n,,
499,Alternates his/her feet and stays balanced while going down stairs,NA,locomotor,stairs,Al bajar escaleras alterna sus piernas y mantiene el equilibrio,,
113,Holds on to furniture to stand up and stay standing,standing,locomotor,standing,Se agarra de los muebles para levantarse y quedarse de pie,,
119,Stands and sits by him/herself,standing,locomotor,standing,Se para y se sienta solo,,
123,Is able to climb most pieces of furniture in the house,standing,locomotor,standing,Puede treparse en la mayorÌ_a de los muebles de la casa,,
130,"Supports his/her own weight when held up, with his/her feet on a surface",standing,locomotor,standing,"Soporta su propio peso cuando se le sostiene en posiciÌ_n vertical, con los pies apoyados sobre una superficie",,
208,"Standing up, leans back with help until seated",standing,locomotor,standing,"Estando de pie, se inclina con apoyo hasta sentarse",,
209,"Being seated, leans forward and gets on knees",standing,locomotor,standing,Estando sentado se inclina hacia adelante y se levanta sobre las rodillas,,
222,Attempts to climb small pieces of furniture,standing,locomotor,standing,Intenta treparse a muebles pequeÌ±os,,
232,Stays balanced when standing or walking,standing,locomotor,standing,Mantiene el equilibrio al pararse o caminar,,
245,Remains standing and held on to something,standing,locomotor,standing,Permanece parado y agarrado de algo,,
273,Stands up with help,standing,locomotor,standing,Se pone de pie con ayuda,,
274,Stands up by him/herself,standing,locomotor,standing,Se pone de pie solo ,,
275,"Kneels, raises one leg and stands up supporting him/herself with furniture",standing,locomotor,standing,"Se pone de rodillas, levanta una pierna y se incorpora apoy‡ndose en un mueble",,
297,"When crawling, repeatedly lays a foot on the floor as an exercise previous to standing up",standing,locomotor,standing,Una y otra vez al gatear planta una pierna en el suelo como ejercicio previo a ponerse de pie,,
438,"While sitting, stands up without support",NA,locomotor,standing,"Estando sentado, puede pararse sin apoyo",,
459,Stays balanced while carrying out activities standing up,NA,locomotor,standing,Mantiene el equilibrio mientras realiza actividades estando de pie,,
470,Is able to squat down and get back up,NA,locomotor,standing,Se agacha en cuclillas,,
415,Walks without support,NA,locomotor,walking,Camina sin apoyo,,
416,Walks without falling down,NA,locomotor,walking,Camina sin caerse,,
4,"While walking, stops and returns to grab an object",walk,locomotor,walking,Al caminar se detiene y regresa para tomar objetos  ,,
13,Walks with little support,walk,locomotor,walking,Camina con poco apoyo,,
15,Begins to walk by leaning on the furniture,walk,locomotor,walking,Comienza a caminar apoy‡ndose en los muebles,,
16,Begins to walk alone,walk,locomotor,walking,Comienza a caminar solo,,
124,Begins to walk if held from underneath his/her arms ,walk,locomotor,walking,Comienza a caminar si se le sostiene por debajo de los brazos,,
166,Walks aiding him/herself with furniture,walk,locomotor,walking,Camina apoyÌÁndose en los muebles,,
167,Walks while holding someone with one or both hands,walk,locomotor,walking,Camina con ayuda tom‡ndose de una o de las dos manos,,
168,Walks and kicks if held by the hand,walk,locomotor,walking,Camina y patea si se le sostiene de una mano,,
181,Coordinates movements while walking by alternating his/her feet to get from one side to another,walk,locomotor,walking,"Al caminar, coordina sus movimientos alternando los pies para pasar de un lado a otro",,
182,Coordinates movements by alternating his/her feet to walk on narrow surfaces,walk,locomotor,walking,Coordina sus movimientos alternando sus pies para caminar sobre superficies estrechas,,
184,Takes steps forward with less help,walk,locomotor,walking,Da pasos hacia adelante disminuyendo ayuda,,
271,Remains standing and spontaneously begins walking alone,walk,locomotor,walking,Se mantiene en pie y camina de manera espont‡nea solo,,
309,Carries an object while walking,NA,locomotor,walking,Lleva un objeto al caminar,,
324,Begins to walk alone,NA,locomotor,walking,Comienza a caminar solo,,
325,Is able to squat down,NA,locomotor,walking,Estando de pie es capaz de inclinarse flexionando las rodillas y volver a pararse,,
350,Stays balanced when standing or walking,NA,locomotor,walking,Mantiene el equilibrio al pararse o caminar,,
355,Pushes or pulls toys while walking,NA,locomotor,walking, Empuja o jala juguetes al caminar,,
453,Starts walking without support,NA,locomotor,walking,Camina y se detiene sin apoyo,,
140,Uses objects to pull and push,actions with objects,play,actions with objects,Utiliza objetos para empujar y jalar,locomotor,manipulation
149,Shakes objects,actions with objects,play,actions with objects,Agita objetos,locomotor,manipulation
217,Bangs one object with another,actions with objects,play,actions with objects,Golpea un objeto contra otro,locomotor,manipulation
223,Pulls objects,actions with objects,play,actions with objects,Jala objetos,locomotor,manipulation
224,Pulls objects with a string,actions with objects,play,actions with objects,Jala objetos con un cord—n,locomotor,manipulation
62,"Places objects together, builds and assembles them with one on top of the other",build,play,building,"Junta objetos, unos sobre otros, arma y ensambla  ",locomotor,fine motor control
179,Builds towers of two cubes or blocks,build,play,building,Construye torres de dos cubos o bloques,locomotor,fine motor control
268,Is entertained by stacking cubes,build,play,building,Se entretiene colocando cubos encima de otros ,locomotor,fine motor control
314,Builds towers with two to four blocks,NA,play,building,Construye torres de dos a cuatro cubos o bloques,locomotor,fine motor control
442,Creates drawings with paint and brushes,NA,play,creativity,Hace dibujos usando pintura y brochas,locomotor,fine motor control
457,Goes to get objects after tossing them,NA,play,creativity,Lanza objetos y va por ellos,locomotor,coordination
5,Modifies his/her behavior by following an example while playing,imitate,play,imitation,"Al jugar, modifica su comportamiento bajo el est’mulo del ejemplo",cognitive,imitation
7,Articulates words by imitation,imitate,play,imitation,Articula palabras por imitaci—n,cognitive,imitation
22,Says bye-bye and claps,imitate,play,imitation,"Dice adi—s, aplaude",cognitive,imitation
53,Imitates actions ,imitate,play,imitation,Imita acciones ,cognitive,imitation
54,Imitates a syllable pronounced by someone else,imitate,play,imitation,Imita alguna s’laba pronunciada por otra persona,cognitive,imitation
55,Imitates animal sounds,imitate,play,imitation,Imita los sonidos de los animales,cognitive,imitation
189,Enjoys common games where you imitate other people,imitate,play,imitation,Disfruta de los juegos en comÌ_n imitando a los mayores ,cognitive,imitation
218,Imitates movements and facial expressions,imitate,play,imitation,Imita movimientos y expresiones faciales,cognitive,imitation
345,Deliberately imitates movements,NA,play,imitation,Imita movimientos deliberadamente,cognitive,imitation
346,Imitates different animal sounds,NA,play,imitation,Imita los sonidos de los animales,cognitive,imitation
347,Imitates mouth movements intentionally,NA,play,imitation,Imita movimientos con la boca intencionalmente,cognitive,imitation
406,Uses an object properly after observing how an adult does so,NA,play,imitation,Utiliza un objeto despuÌ©s de la demostraciÌ_n de un adulto,cognitive,imitation
315,Sings and dances when he/she hears familiar songs,NA,play,music,Baila y canta cuando escucha canciones conocidas,cognitive,music
318,Imitates gestures while singing,NA,play,music,"Imita ademanes, cuando canta canciones",cognitive,music
338,"Follows the rhythm of a song with his/her hands and feet, or with instruments",NA,play,music," Sigue el ritmo de la mÌ_sica utilizando las palmas, los pies o instrumentos musicales ",cognitive,music
359,Pays attention to songs,NA,play,music,Presta atenciÌ_n a canciones,cognitive,music
365,Begins to remember songs,NA,play,music,Comienza a recordar canciones,cognitive,music
371,"Identifies different rhythms, dancing according to the song",NA,play,music,"Identifica diferentes ritmos de mÌ_sica, bailando de acuerdo a la canciÌ_n",cognitive,music
376,Plays different musical instruments,NA,play,music,Toca diferentes instrumentos musicales,cognitive,music
412,Dances to the music with accessories like ribbons,NA,play,music,Baila con la mÌ_sica utilizando accesorios como telas y listones,cognitive,music
417,Sings and dances along to the rhythm of a song,NA,play,music,Canta y baila siguiendo el ritmo de una canciÌ_n,cognitive,music
101,Recognizes distinct rhythms when they are shown,rhythm,play,music,Reconoce los diversos ritmos que se le muestran,cognitive,music
255,"Responds to music by balancing, jumping and trying to hum",rhythm,play,music,"Responde a la mœsica balance‡ndose, salta y trata de tararear",cognitive,music
468,Recognizes the sound of different musical instruments,NA,play,music,Reconoce el sonido de distintos instrumentos musicales,cognitive,music
537,Recalls and sings the words to a song,NA,play,music,Recuerda y canta las palabras de una canciÌ_n,cognitive,music
37,Is capable of grabbing objects that are within reach,grasp objects,play,objects,Es capaz de asir los objetos que estÌÁn al alcance de su mano,locomotor,coordination
83,"Observes and reaches for small, attractive objects by dragging him/herself or crawling",grasp objects,play,objects,Observa y alcanza objetos peque–os y llamativos con un movimiento de arrastre o gateo,locomotor,coordination
116,Drags him/herself or stretches out to reach something,grasp objects,play,objects,Se arrastra o estira para alcanzar algo ,locomotor,coordination
135,Lets go and drops objects he/she is grabbing,grasp objects,play,objects,Suelta y deja caer lo que tiene en sus manos,locomotor,coordination
152,Reaches small objects with raking movement,grasp objects,play,objects,"Alcanza objetos peque–os con movimientos de ""rastrillo""",locomotor,coordination
153,Reaches objects and takes them with an open hand,grasp objects,play,objects,Alcanza objetos y los toma con la mano abierta,locomotor,coordination
198,Begins trying to grab objects with his/her hands,grasp objects,play,objects,Empieza a intentar asir con las manos,locomotor,coordination
205,Makes voluntary movements by grabbing objects deliberately,grasp objects,play,objects,"Es capaz de asir objetos deliberadamente, haciendo sus movimientos voluntarios",locomotor,coordination
213,Extends arms to take objects and holds them with his/her entire hand,grasp objects,play,objects,Extiende los brazos para tomar objetos y los agarra con toda la mano,locomotor,coordination
221,Attempts to grab objects that are out of reach,grasp objects,play,objects,Intenta alcanzar objetos fuera de su alcance,locomotor,coordination
238,Moves his/her body to grab an object,grasp objects,play,objects,Mueve el cuerpo para asir algœn objeto,locomotor,coordination
239,Moves his/her legs until reaching a nearby object,grasp objects,play,objects,Mueve las piernas hasta alcanzar un objeto cercano,locomotor,coordination
251,Picks up objects easily without the use of his/her thumb,grasp objects,play,objects,Recoge objetos con facilidad sin el uso del pulgar,locomotor,coordination
269,Stretches out to reach something,grasp objects,play,objects,Se estira para alcanzar algo ,locomotor,coordination
294,Firmly holds an object placed in his/her hands for a few seconds,grasp objects,play,objects,Toma con firmeza por segundos un objeto puesto en su mano ,locomotor,coordination
295,Tries to grab small objects using the index finger and thumb (pincer grasp) ,grasp objects,play,objects,Intenta tomar con sus manos objetos pequeÌ±os utilizando su pulgar e Ì_ndice (prensiÌ_n en pinza),locomotor,coordination
296,Takes objects using his/her fingers,grasp objects,play,objects,Toma objetos utilizando sus dedos,locomotor,coordination
299,Uses both hands to reach an object,grasp objects,play,objects,Usa sus dos manos para alcanzar un objeto,locomotor,coordination
464,Portrays family members while playing,NA,play,pretend,Personifica a los miembros de la familia al jugar ,cognitive,pretend
475,Starts playing imaginary games (e.g. dressing up or acting like a fireman),NA,play,pretend,Comienza a jugar juegos imaginarios (por Ej. disfrazarse o actuar como un bombero),cognitive,pretend
85,Participates in the representation of daily activities (e.g. a pretend phone call),adaptative,play,pretend,Participa en la representaciÌ_n de actividades cotidianas (por Ej. Simula hablar por telÌ©fono),cognitive,pretend
329,Enjoys playing pretend (e.g. pretending his/her spoon is a plane),NA,play,pretend,Disfruta los juegos de simulaciÌ_n (como simular que la cuchara es un aviÌ_n al comer),cognitive,pretend
354,Plays with adults,NA,play,social ,Juega con adultos ,social and emotional,play
84,Voluntarily offers his/her own toys while playing with other kids,social and emotional,play,social ,Ofrece voluntariamente sus propios juguetes para jugar con otros ni–os ,social and emotional,play
225,Plays with other people,social and emotional,play,social ,Juega con otras personas,social and emotional,play
310,"Moves toys with wheels (cars, trains, etc.)",NA,play,toy play,"Mueve juguetes que tienen ruedas (carritos, trenes, etc.)",locomotor,coordination
312,Begins to flatten and press clay,NA,play,toy play,Comienza a amasar y aplastar la plastilina,locomotor,coordination
316,Doodles from the top to the bottom of a paper,NA,play,toy play,Realiza garabateos de arriba hacia abajo en un papel,locomotor,fine motor control
319,Colors freely,NA,play,toy play,Colorea libremente,cognitive,creativity
330,Doodles energetically,NA,play,toy play,Elabora garabatos enÌ©rgicamente,cognitive,creativity
367,Stays within the margins of a paper,NA,play,toy play,Respeta los mÌÁrgenes de las hojas,locomotor,fine motor control
369,Takes out and stores objects without needing help,NA,play,toy play,Saca y guarda objetos sin requerir ayuda,locomotor,coordination
377,Grabs a pencil with his/her fist and his/her thumb up,NA,play,toy play,Toma un lÌÁpiz con el puÌ±o y con el pulgar hacia arriba,locomotor,coordination
388,Tries to make a small ball out of clay,NA,play,toy play,Intenta hacer bolitas con la  plastilina,locomotor,coordination
